# 2023-09-27 1560 SPDC measurment 
# Temperature scan betwen 24 and 80 C 
# Swapped the oven to one from IJS 
# This measurement DOES inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) bandwidth of 100 GHz# Each single-photon detector is connected to the coincidence stage# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: 'H' (Ch1, C21R)(uW)  = 82.1 mW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 0.3 and 0.27 kHz 
# single photon detector QE: 10% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
61.1    29760    22194    0
61.2    29531    22053    0
61.3    29588    21935    2
61.4    29297    21842    0
61.5    29505    21771    2
61.6    29204    21900    0
61.7    29642    21767    0
61.8    29459    21742    0
61.9    29957    22159    1
62.0    29734    21909    0
62.1    29800    22359    1
62.2    29679    21812    0
62.3    29339    21843    0
62.4    29550    21761    0
62.5    29613    21984    1
62.6    29336    21757    0
62.7    29459    22122    0
62.8    29570    21522    0
62.9    29771    21974    0
63.0    29404    21774    0
63.1    29123    21772    1
63.2    29283    21739    0
63.3    29362    21991    0
63.4    29493    22031    1
63.5    29088    21808    0
63.6    29365    21840    1
63.7    29330    21782    0
63.8    29586    22111    0
63.9    29584    21917    1
64.0    29238    21897    1
64.1    29567    21554    0
64.2    29237    21791    0
64.3    29591    21804    0
64.4    29522    21791    0
64.5    29112    21878    0
64.6    29552    21974    0
64.7    29621    21921    0
64.8    29612    21825    0
64.9    29449    21752    0
65.0    29580    21964    0
65.1    29487    21897    0
65.2    29274    21589    0
65.3    29573    21977    0
65.4    29148    21802    0
65.5    29642    21531    0
65.6    29304    22177    0
65.7    29342    21828    0
65.8    29583    22013    0
65.9    29090    21638    1
66.0    29419    21662    0
66.1    28964    21928    0
66.2    29209    21639    0
66.3    29592    21594    0
66.4    29195    21483    0
66.5    29363    21626    0
66.6    29226    21749    0
66.7    29159    21582    0
66.8    29671    21704    0
66.9    29018    21691    0
67.0    29185    21638    0
67.1    29319    21698    0
67.2    29417    21678    0
67.3    29176    21849    0
67.4    29500    21341    0
67.5    29749    21851    0
67.6    29496    21740    0
67.7    29085    21694    0
67.8    29378    21841    0
67.9    29211    21906    0
68.0    29554    21806    0
68.1    29163    21829    0
68.2    29277    21725    1
68.3    29197    21722    0
68.4    29329    21783    0
68.5    29302    21912    1
68.6    29193    21500    0
68.7    29290    22000    0
68.8    29310    21941    0
68.9    29291    21911    0
69.0    29112    21936    0
69.1    29445    21803    1
69.2    29303    21743    0
69.3    28881    21861    0
69.4    29065    21624    1
69.5    29201    21587    0
69.6    29053    21713    0
69.7    29134    21496    0
69.8    29279    22121    0
69.9    29590    22188    0
70.0    29636    21644    0
70.1    29188    21760    0
70.2    29353    21707    2
70.3    28906    21835    0
70.4    29061    21752    1
70.5    29358    22072    0
70.6    29162    21823    1
70.7    28940    21756    1
70.8    29470    21857    0
70.9    29186    21729    0
71.0    29144    21801    0
71.1    29290    21669    0
71.2    29374    21480    2
71.3    29096    21758    1
71.4    29332    21797    1
71.5    29144    21757    0
71.6    29237    21446    1
71.7    28997    21910    1
71.8    29212    21929    0
71.9    29513    21843    0
72.0    29291    21673    0
72.1    28961    21648    0
72.2    28696    21346    0
72.3    29286    21521    0
72.4    28656    22003    1
72.5    29166    21596    1
72.6    29171    21663    0
72.7    29146    21668    1
72.8    29285    21764    0
72.9    29318    21663    0
73.0    29107    22052    1
73.1    29017    22042    0
73.2    29153    21434    0
73.3    29140    21661    0
73.4    29068    21887    0
73.5    29144    22027    2
73.6    29220    21672    1
73.7    29489    21707    1
73.8    29189    21448    0
73.9    29218    21717    0
74.0    28978    21789    1
74.1    29137    21880    0
74.2    29136    21542    0
74.3    28991    21544    0
74.4    29064    21566    0
74.5    29467    21662    0
74.6    29514    21440    0
74.7    29140    21515    0
74.8    28990    21486    0
74.9    29343    21495    0
75.0    28852    21892    0
75.1    29507    21650    0
75.2    29865    22417    0
75.3    30668    22953    0
75.4    30463    22571    0
75.5    30719    22694    0
75.6    30878    22472    1
75.7    30715    22634    0
75.8    30839    22709    0
75.9    30807    22716    0
