# 2023-05-29 1550 SPDC measurment
# both crystals are (again) oriented in the same direction
# temperature scan betwen 24 and 90 C 
# this measurement now includes the coincidence stage where we seperate single photons based on polarization per channel 
# this should now provide a nice temperature scan without any q beating interference. just an nice PM peak (at least in coincidences) 
# --------------------------------- 
# input laser power: 30 mW at 1550 nm (245 mA) 
# pump polarization: H# periodic pooling: 9.03 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
57.7    1612200    1901490    11124
57.8    1606810    1901759    11319
57.9    1602384    1901764    10884
58.0    1599112    1902723    10892
58.1    1594301    1902380    10723
58.2    1589660    1903824    10925
58.3    1584944    1905402    10781
58.4    1583171    1904937    10650
58.5    1575288    1902974    10648
58.6    1570255    1904015    10180
58.7    1563467    1905066    10297
58.8    1557097    1905219    10320
58.9    1554014    1905469    10248
59.0    1546790    1905815    10016
59.1    1540709    1903921    9743
59.2    1537281    1903656    9989
59.3    1528832    1903875    9665
59.4    1522743    1905639    9617
59.5    1520404    1904729    9498
59.6    1510476    1904690    9499
59.7    1484652    1887954    9008
59.8    1473904    1884351    8991
59.9    1468632    1885915    9088
60.0    1461458    1886462    8841
60.1    1458926    1889788    8595
60.2    1451044    1892666    8712
60.3    1445990    1894668    8470
60.4    1439179    1894552    8379
60.5    1433327    1893503    8366
60.6    1425351    1894624    8169
60.7    1418343    1897048    7933
60.8    1405817    1895452    7980
60.9    1397741    1895355    7795
61.0    1392912    1895041    7663
61.1    1383174    1895852    7671
61.2    1373222    1895547    7362
61.3    1366673    1894483    7441
61.4    1358084    1893612    7345
61.5    1347687    1893880    7161
61.6    1337158    1892220    7005
61.7    1330953    1892003    6803
61.8    1320327    1891215    6820
61.9    1312491    1893084    6681
62.0    1303021    1892587    6543
62.1    1290328    1889324    6458
62.2    1283399    1889855    6446
62.3    1272702    1888139    6235
62.4    1263574    1891086    6049
62.5    1254731    1888492    6137
62.6    1246289    1887804    5953
62.7    1236093    1889032    5875
62.8    1224512    1887741    5583
62.9    1221102    1886703    5710
63.0    1205647    1884774    5462
63.1    1195797    1885243    5295
63.2    1193478    1885108    5221
63.3    1179740    1885369    5142
63.4    1170605    1883677    5054
63.5    1163679    1883152    5073
63.6    1152426    1880458    4922
63.7    1146549    1881663    4825
63.8    1135330    1880213    4667
63.9    1126737    1878205    4584
64.0    1120217    1880108    4483
64.1    1109879    1878010    4517
64.2    1101938    1876728    4486
64.3    1093387    1876175    4226
64.4    1085124    1875823    4253
64.5    1074328    1874162    4132
64.6    1068949    1876301    4114
64.7    1060225    1872895    3937
64.8    1055121    1873850    3854
64.9    1044560    1871307    3828
65.0    1037245    1870853    3738
65.1    1027482    1869796    3630
65.2    1024439    1868939    3666
65.3    1017040    1869114    3551
65.4    1010723    1868899    3478
65.5    1005578    1867009    3523
65.6    997699    1865216    3345
65.7    992554    1864662    3298
65.8    988660    1864469    3216
65.9    978411    1863051    3208
66.0    976964    1864317    3262
66.1    967734    1860928    3086
66.2    963212    1860995    3087
66.3    960783    1860952    3107
66.4    955213    1859310    2985
66.5    948619    1859749    2910
66.6    945079    1857242    2838
66.7    940595    1856711    2717
66.8    934788    1852377    2757
66.9    930617    1856039    2672
67.0    926313    1853879    2701
67.1    923390    1853555    2702
67.2    918197    1852756    2634
67.3    916134    1851183    2556
67.4    911829    1851015    2502
67.5    908049    1848248    2371
67.6    902943    1845615    2457
67.7    899880    1845977    2454
67.8    899801    1845218    2359
67.9    895004    1844891    2304
68.0    890615    1840943    2287
68.1    887578    1840942    2223
68.2    883557    1838229    2266
68.3    880736    1837227    2272
68.4    879635    1834505    2199
68.5    876503    1832517    2128
68.6    871364    1831720    2172
68.7    868946    1829051    2086
68.8    868170    1829122    2056
68.9    868252    1827369    1995
69.0    861370    1823970    2037
69.1    859470    1821142    2028
69.2    858175    1818297    1964
69.3    852722    1813501    1915
69.4    851364    1812321    1941
69.5    850249    1812469    1958
69.6    845291    1806397    1911
69.7    843611    1805726    1862
69.8    837845    1800203    1803
69.9    840306    1798758    1803
70.0    835199    1793341    1719
70.1    832427    1790662    1795
70.2    828017    1784992    1815
70.3    826848    1781243    1704
70.4    822259    1778704    1701
70.5    818788    1772372    1752
70.6    816938    1767744    1697
70.7    813894    1766483    1700
70.8    809642    1757815    1627
70.9    806582    1753075    1572
71.0    804542    1748335    1605
71.1    800050    1742796    1655
71.2    797805    1736035    1515
71.3    794065    1729765    1566
71.4    790139    1724590    1526
71.5    785071    1719525    1539
71.6    782944    1711379    1539
71.7    778405    1705218    1589
71.8    774928    1699242    1480
71.9    769013    1689829    1449
72.0    764883    1683397    1476
72.1    762988    1676990    1549
72.2    757272    1669767    1482
72.3    752310    1660582    1419
72.4    749947    1655266    1395
72.5    742414    1642126    1463
72.6    735164    1633695    1394
72.7    733422    1626553    1432
72.8    727323    1615532    1478
72.9    723415    1607861    1334
73.0    720342    1599076    1351
73.1    715518    1587202    1427
73.2    707676    1578684    1399
73.3    701577    1567443    1307
73.4    697439    1558292    1328
73.5    693109    1546054    1339
73.6    686819    1536595    1329
73.7    682313    1530357    1302
73.8    675067    1512853    1313
73.9    670577    1501649    1288
74.0    661606    1491270    1294
74.1    656182    1479234    1298
74.2    649670    1466112    1286
74.3    648322    1461989    1298
74.4    639280    1442154    1293
74.5    635418    1428163    1230
74.6    627803    1421159    1257
74.7    627323    1410568    1285
74.8    617564    1388689    1252
74.9    612603    1380454    1306
75.0    604955    1366627    1238
75.1    601952    1351851    1233
75.2    596660    1345049    1298
75.3    589746    1323401    1271
75.4    584388    1313321    1223
75.5    578400    1298609    1199
75.6    567923    1284496    1190
75.7    562590    1270128    1196
75.8    557904    1257999    1258
75.9    550622    1246516    1225
76.0    545995    1231018    1246
76.1    538725    1218071    1210
76.2    536542    1210472    1156
76.3    526959    1188288    1140
76.4    522980    1176093    1224
76.5    518476    1167003    1279
76.6    513119    1149553    1204
76.7    509914    1140417    1146
76.8    505532    1122513    1208
76.9    501612    1108706    1182
77.0    495199    1098187    1133
77.1    489517    1079942    1175
77.2    484401    1067699    1160
77.3    480676    1056745    1198
77.4    476515    1043418    1174
77.5    468693    1026963    1140
77.6    467360    1020220    1109
77.7    458078    1003138    1090
77.8    455030    993123    1106
77.9    450842    981637    1087
78.0    445987    965700    1074
78.1    444315    962161    1111
78.2    439158    945951    1027
78.3    433869    930880    1067
78.4    429876    926569    1061
78.5    424673    906724    1141
78.6    422751    898378    1132
78.7    420116    885619    1120
78.8    417026    875438    1105
78.9    414661    872038    1155
79.0    413188    854648    1107
79.1    409233    844291    1098
79.2    404100    832142    1128
79.3    401419    821927    996
79.4    399031    809919    1063
79.5    393855    803449    1044
79.6    388565    790168    1029
79.7    389331    781910    1002
79.8    384406    773450    1000
79.9    380792    765791    966
80.0    377957    755898    1068
80.1    374909    747036    943
80.2    373515    742879    974
80.3    371239    729460    971
80.4    368719    725287    1021
80.5    366175    715179    982
80.6    361847    706063    1006
80.7    362338    702120    992
80.8    359962    689386    932
80.9    356607    676470    976
81.0    360184    678425    1051
81.1    352393    666152    1020
81.2    349901    661337    1004
81.3    349232    652786    1000
81.4    344041    643107    993
81.5    345159    639403    1018
81.6    342575    631147    937
81.7    340505    622248    965
81.8    337806    616842    1000
81.9    335907    611247    918
82.0    334915    609608    956
82.1    332456    597214    887
82.2    331677    591213    922
82.3    330735    591378    923
82.4    329265    582186    869
82.5    326623    575364    992
82.6    326054    569468    928
82.7    325710    564895    961
82.8    324322    557964    950
82.9    322369    552280    894
83.0    319364    546705    928
83.1    320148    543177    890
83.2    318174    538624    909
83.3    316512    531901    889
