# 2023-05-17 1310 SFG measurment
# full measurement of the phasematching condition, now for controler 2 and oven 2 
# temperature scan betwen 30 and 90 C 
# now for a different pooling 
# --------------------------------- 
# input laser power: __ mW at 1310 nm (70 mA) 
# pump polarization: H + V # periodic pooling: 6.57 um (same as the first measurement for the first controler# initial setup alignment at 23.0 C# integration time: 60 s 
# single photon detector darkcounts: 150 Hz 
# single photon detector QE: __% 
# single photon detector dead time: __ us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
89.4    17431    16765    0
89.5    17530    16941    0
89.6    17450    16756    0
89.7    17274    16991    0
89.8    17336    16767    0
89.9    17003    16890    0
90.0    16914    16953    0
90.1    16744    16762    0
90.2    16523    16989    0
90.3    16321    16826    0
90.4    15818    16813    0
90.5    15701    16703    0
90.6    15173    16810    0
90.7    14954    16846    0
90.8    14704    17017    0
90.9    14338    17005    0
91.0    14062    16922    0
91.1    14014    17108    0
91.2    13117    16895    0
91.3    13008    16915    0
91.4    12992    16803    0
91.5    12395    16947    0
91.6    12358    16882    0
91.7    11883    16984    0
91.8    11769    16638    0
91.9    11830    16857    0
92.0    11522    16985    0
92.1    11603    16725    0
92.2    11703    16844    0
92.3    11646    17054    0
92.4    11614    17003    0
92.5    11586    16650    0
92.6    11591    16823    0
92.7    11830    16963    0
92.8    12050    16909    0
92.9    12300    16834    0
93.0    12797    16745    0
93.1    12778    16691    0
93.2    13178    16876    0
93.3    13451    16839    0
93.4    13583    16857    0
93.5    14108    16553    0
93.6    14208    17052    0
93.7    14613    16809    0
93.8    14816    16910    0
93.9    14963    16874    0
94.0    15222    17004    0
94.1    15502    16718    0
94.2    15618    17101    0
94.3    15753    16739    0
94.4    15914    17017    0
94.5    16030    17037    0
94.6    16041    16714    1
94.7    16299    16775    0
94.8    16220    16803    0
94.9    16089    16933    0
95.0    16067    16632    0
95.1    16300    16668    0
95.2    16256    16773    0
95.3    16046    17182    0
95.4    15979    17035    0
95.5    15500    16672    0
95.6    15270    16869    0
95.7    15155    17088    0
95.8    14564    16763    1
95.9    14296    16565    1
96.0    14188    16798    0
96.1    13920    16877    0
96.2    13741    16858    0
96.3    13750    16704    1
96.4    13168    16904    0
96.5    13336    16797    0
96.6    13175    16963    1
96.7    13084    17115    0
96.8    12862    16823    0
96.9    12649    16827    0
97.0    12679    16753    0
97.1    12315    17034    1
97.2    12345    16760    0
97.3    12016    17081    0
97.4    11993    16849    0
97.5    12014    16791    0
97.6    12379    16836    0
97.7    12209    16643    1
97.8    12638    16969    0
97.9    12625    16910    0
98.0    12577    16661    0
98.1    13017    16648    0
98.2    12991    16569    0
98.3    13130    16708    0
98.4    13241    16917    0
98.5    13193    16804    0
98.6    13300    16955    0
98.7    13290    16903    0
98.8    13775    16770    0
98.9    13677    16764    0
99.0    13781    16719    0
99.1    13800    17063    0
99.2    13826    17041    0
99.3    14169    16843    0
99.4    14144    16892    0
99.5    13962    17111    0
99.6    14141    16866    0
99.7    13877    16790    0
99.8    13735    17151    0
99.9    13719    16992    0
100.0    13644    16796    1
