# 2023-09-23 1560 SPDC measurment 
# Temperature scan betwen 22 and 80 C 
# This measurement DOES NOT inculde the coincidence stage where we seperate single photons based on polarization per channel 
# A narrowband filter is implemented in C21 (1560.61 nm) and C22 (1559.79 nm), bandwidth of 100 GHz# Each single-photon detector is connected to one channel: C21 and C22# TEST MEASUREMENT# --------------------------------- 
# input laser power: 83 mW  at 780 nm (262 mA) 
# pump polarization: H (uW) (+ V = 20 uW)# periodic pooling: 9.12 um# initial setup alignment at 22.0 C# integration time: 60 s 
# single photon detector darkcounts: 3.4 kHz 
# single photon detector QE: 30% 
# single photon detector dead time: 20 us 
# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
55.5    241912    349679    32
55.6    239806    349300    27
55.7    240542    349615    32
55.8    238609    352185    29
55.9    238361    350569    35
56.0    237075    347937    22
56.1    237097    350110    24
56.2    235784    348518    30
56.3    234692    348693    32
56.4    235045    346769    33
56.5    231583    349516    30
56.6    231623    348253    25
56.7    231982    349207    21
56.8    229745    350209    26
56.9    228923    346765    31
57.0    228326    347663    28
57.1    227379    347878    37
57.2    226994    349181    31
57.3    224337    347555    26
57.4    226434    348166    25
57.5    224580    344792    28
57.6    222192    343546    30
57.7    221317    344996    19
57.8    221063    344378    21
57.9    221513    346611    28
58.0    220578    344882    32
58.1    218974    341928    20
58.2    217933    343617    30
58.3    218917    341344    26
58.4    219779    340869    21
58.5    220235    339404    28
58.6    220836    340307    21
58.7    221179    337906    33
58.8    220570    337910    31
58.9    220500    336155    26
59.0    221020    334645    30
59.1    222855    337462    20
59.2    220647    335686    26
59.3    221650    333416    18
59.4    222355    334091    28
59.5    221650    330671    28
59.6    221984    330540    28
59.7    222185    331070    25
59.8    222719    333014    27
59.9    224498    333667    34
60.0    223100    331987    22
60.1    221221    331572    23
60.2    223501    328228    17
60.3    222677    330980    24
60.4    221778    332092    24
60.5    221187    333790    21
60.6    221326    331909    29
60.7    221653    331122    34
60.8    218705    330337    28
60.9    220051    330158    25
61.0    221358    329427    28
61.1    221333    331514    23
61.2    220830    332230    21
61.3    219621    333297    27
61.4    219316    333803    20
61.5    220017    332525    37
61.6    219441    333290    27
61.7    218931    333283    30
61.8    219627    334397    24
61.9    218952    334366    17
62.0    218450    330481    32
62.1    217358    331093    21
62.2    216169    330004    31
62.3    216611    331881    29
62.4    215848    330138    21
62.5    217395    331937    34
62.6    217198    332092    23
62.7    215878    333417    31
62.8    215405    329036    26
62.9    216003    329634    32
63.0    215531    327209    30
63.1    217127    331195    25
63.2    217763    329596    29
63.3    216839    326972    34
63.4    218041    326930    24
63.5    218097    327080    31
63.6    218788    325737    24
63.7    218157    328412    17
63.8    217425    327289    29
63.9    216856    324945    20
64.0    217134    324928    25
64.1    218393    324626    29
64.2    216276    325938    15
64.3    215761    327606    23
64.4    215034    324973    30
64.5    215530    322979    31
64.6    216680    325403    30
64.7    214854    325278    18
64.8    213253    326064    20
64.9    213605    327305    32
65.0    212633    327878    24
65.1    213078    325451    24
65.2    212936    324582    31
65.3    212130    323065    15
65.4    212303    325912    20
65.5    211189    324984    29
65.6    212663    326170    30
65.7    213116    324290    29
65.8    214594    323372    19
65.9    213313    322360    18
66.0    212018    322226    24
66.1    212823    321345    21
66.2    213425    321907    22
66.3    212915    323059    18
66.4    213992    320247    21
66.5    214039    317611    25
66.6    212305    317209    28
66.7    214964    319196    32
66.8    213608    319333    29
66.9    215500    317390    16
67.0    213779    317231    23
67.1    214311    316608    14
67.2    212171    316025    24
67.3    212319    315233    25
67.4    213631    317364    23
67.5    214055    317097    22
67.6    212523    316288    27
67.7    212783    315023    22
67.8    211637    315942    22
67.9    211814    315055    29
68.0    211135    318013    17
68.1    209456    317647    15
68.2    209777    318328    28
68.3    208393    319644    25
68.4    207634    316012    18
68.5    207019    317377    30
68.6    206869    318308    27
68.7    207109    319679    17
68.8    207652    318972    21
68.9    206749    320045    22
69.0    203075    317216    20
69.1    205667    321430    25
69.2    206322    319626    16
69.3    206035    319407    37
